1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,
